Dates,PRICE1,PRICE2
1990-01-01,567.34,166.9
1990-01-02,568.96,166.9
1990-01-03,569.1,167.47
1990-01-04,571.02,171.13
1990-01-05,566.36,168.75
1990-01-08,567.96,168.58
1990-01-09,563.24,168.63
1990-01-10,560.07,167.38
1990-01-11,561.59,165.82
1990-01-12,554.28,165.8
1990-01-15,551.03,161.54
1990-01-16,544.89,162.06
1990-01-17,543.64,160.38
1990-01-18,539.73,160.41
1990-01-19,539.58,159.05
1990-01-22,536.2,164.88
1990-01-23,536.54,163.54
1990-01-24,534.26,165.88
1990-01-25,534.25,165.79
1990-01-26,535.62,165.79
1990-01-29,540.47,164.03
1990-01-30,538.86,161.99
1990-01-31,539.94,163.21
1990-02-01,541.56,161.38
1990-02-02,543.85,159.54
1990-02-05,545.43,159.48
1990-02-06,546.06,161.6
1990-02-07,544.25,160.11
1990-02-08,543.91,160.64
1990-02-09,541.46,159.91
1990-02-12,539.26,157.25
1990-02-13,537.61,157.25
1990-02-14,538.9,158.07
1990-02-15,542.22,159.04
1990-02-16,542.47,158.52
1990-02-19,540.17,156.01
1990-02-20,532.74,155.59
1990-02-21,524.86,154.74
1990-02-22,523.59,155.13
1990-02-23,514.35,154.48
1990-02-26,505.18,151.34
1990-02-27,510.63,156.51
1990-02-28,515.89,156.75
1990-03-01,510.67,156.75
1990-03-02,512.87,161.23
1990-03-05,511.93,157.82
1990-03-06,512.63,155.61
1990-03-07,509.91,154.53
1990-03-08,513.68,154.65
1990-03-09,511.25,155.28
1990-03-12,506.97,155.3
1990-03-13,500.35,153.53
1990-03-14,498.76,152.56
1990-03-15,499.7,151.94
1990-03-16,503.46,153.28
1990-03-19,496.57,153.02
1990-03-20,491.34,155.19
1990-03-21,488.64,155.37
1990-03-22,478.63,154.67
1990-03-23,484.93,153.47
1990-03-26,491.91,152.53
1990-03-27,493.34,151.34
1990-03-28,489.0,149.73
1990-03-29,489.54,151.12
1990-03-30,483.82,154.06
1990-04-02,468.34,152.38
1990-04-03,478.47,151.8
1990-04-04,476.86,149.59
1990-04-05,478.55,149.59
1990-04-06,484.67,150.2
1990-04-09,491.2,147.42
1990-04-10,485.51,146.14
1990-04-11,485.97,146.75
1990-04-12,487.9,145.29
1990-04-13,486.28,144.19
1990-04-16,482.81,139.12
1990-04-17,482.56,143.19
1990-04-18,484.28,140.2
1990-04-19,487.6,137.75
1990-04-20,485.73,137.81
1990-04-23,480.3,139.38
1990-04-24,476.96,138.18
1990-04-25,478.29,135.67
1990-04-26,478.81,130.22
1990-04-27,475.41,134.45
1990-04-30,475.92,123.61
1990-05-01,477.92,129.11
1990-05-02,483.25,129.11
1990-05-03,485.02,134.88
1990-05-04,487.7,140.71
1990-05-07,495.35,142.38
1990-05-08,496.48,143.31
1990-05-09,498.55,141.86
1990-05-10,498.81,137.86
1990-05-11,510.63,136.05
1990-05-14,515.92,131.68
1990-05-15,517.79,130.39
1990-05-16,515.75,136.18
1990-05-17,517.21,139.08
1990-05-18,515.31,137.5
1990-05-21,514.41,140.35
1990-05-22,519.04,141.25
1990-05-23,521.16,141.54
1990-05-24,519.71,140.82
1990-05-25,521.2,141.89
1990-05-28,523.13,139.18
1990-05-29,524.34,140.41
1990-05-30,526.35,142.23
1990-05-31,525.1,143.76
1990-06-01,528.0,144.96
1990-06-04,526.76,147.34
1990-06-05,527.3,146.1
1990-06-06,526.08,146.1
1990-06-07,525.64,145.12
1990-06-08,519.72,145.32
1990-06-11,517.54,141.87
1990-06-12,520.38,141.55
1990-06-13,520.26,140.68
1990-06-14,521.46,138.64
1990-06-15,519.08,138.43
1990-06-18,515.82,135.6
1990-06-19,515.29,134.15
1990-06-20,516.8,132.79
1990-06-21,516.76,133.23
1990-06-22,513.78,134.13
1990-06-25,509.32,132.62
1990-06-26,511.29,132.11
1990-06-27,517.67,132.79
1990-06-28,518.51,131.63
1990-06-29,520.41,129.2
1990-07-02,522.96,128.58
1990-07-03,524.0,134.32
1990-07-04,527.59,133.12
1990-07-05,523.26,130.38
1990-07-06,524.42,129.42
1990-07-09,525.96,129.64
1990-07-10,524.49,130.25
1990-07-11,528.28,129.18
1990-07-12,530.27,127.42
1990-07-13,536.01,125.2
1990-07-16,539.82,124.49
1990-07-17,539.44,124.49
1990-07-18,538.72,126.94
1990-07-19,538.06,126.04
1990-07-20,532.85,126.25
1990-07-23,526.05,123.62
1990-07-24,524.21,123.37
1990-07-25,524.18,124.45
1990-07-26,519.77,122.65
1990-07-27,516.22,122.08
1990-07-30,517.42,122.83
1990-07-31,524.18,122.95
1990-08-01,522.79,125.2
1990-08-02,511.15,124.24
1990-08-03,503.28,122.28
1990-08-06,488.57,118.96
1990-08-07,486.81,117.59
1990-08-08,488.45,115.49
1990-08-09,488.54,115.57
1990-08-10,484.34,117.0
1990-08-13,481.11,114.34
1990-08-14,484.37,111.4
1990-08-15,496.1,111.4
1990-08-16,488.07,109.64
1990-08-17,480.16,109.36
1990-08-20,478.08,108.39
1990-08-21,469.88,106.36
1990-08-22,463.28,105.63
1990-08-23,448.34,104.7
1990-08-24,454.31,103.18
1990-08-27,469.19,107.32
1990-08-28,474.72,112.26
1990-08-29,471.58,112.83
1990-08-30,472.55,110.08
1990-08-31,474.13,107.68
1990-09-03,469.9,111.8
1990-09-04,466.21,111.43
1990-09-05,465.67,110.29
1990-09-06,462.41,108.51
1990-09-07,464.02,108.27
1990-09-10,469.71,108.13
1990-09-11,464.35,108.2
1990-09-12,472.38,107.65
1990-09-13,467.85,107.4
1990-09-14,466.84,106.27
1990-09-17,463.66,99.3
1990-09-18,460.01,103.63
1990-09-19,454.01,104.43
1990-09-20,446.52,103.25
1990-09-21,445.27,103.29
1990-09-24,442.19,104.05
1990-09-25,437.4,104.91
1990-09-26,429.11,105.02
1990-09-27,425.22,104.95
1990-09-28,423.14,106.03
1990-10-01,429.85,106.03
1990-10-02,446.82,106.03
1990-10-03,445.39,106.03
1990-10-04,445.45,106.03
1990-10-05,450.21,110.79
1990-10-08,462.14,109.15
1990-10-09,455.55,109.15
1990-10-10,451.54,110.08
1990-10-11,442.59,110.93
1990-10-12,448.04,113.36
1990-10-15,454.12,115.31
1990-10-16,454.06,113.76
1990-10-17,458.8,116.99
1990-10-18,466.37,119.36
1990-10-19,473.16,124.83
1990-10-22,477.95,132.18
1990-10-23,476.82,138.05
1990-10-24,473.9,143.67
1990-10-25,476.29,138.32
1990-10-26,467.48,132.37
1990-10-29,466.02,131.4
1990-10-30,461.55,129.26
1990-10-31,461.64,124.98
1990-11-01,456.22,130.07
1990-11-02,459.66,129.11
1990-11-05,465.99,129.22
1990-11-06,463.15,128.12
1990-11-07,457.2,131.78
1990-11-08,450.51,129.02
1990-11-09,453.69,128.1
1990-11-12,458.6,127.62
1990-11-13,464.47,129.31
1990-11-14,463.21,128.05
1990-11-15,460.31,127.11
1990-11-16,459.16,126.15
1990-11-19,465.34,122.14
1990-11-20,461.41,121.66
1990-11-21,460.59,121.41
1990-11-22,464.83,122.89
1990-11-23,464.66,123.41
1990-11-26,463.45,122.62
1990-11-27,463.07,124.65
1990-11-28,458.93,127.26
1990-11-29,454.35,125.69
1990-11-30,453.05,126.65
1990-12-03,455.91,130.94
1990-12-04,453.66,130.63
1990-12-05,458.03,131.25
1990-12-06,465.89,130.82
1990-12-07,473.1,133.33
1990-12-10,474.37,133.76
1990-12-11,473.2,131.66
1990-12-12,474.96,131.64
1990-12-13,478.29,129.13
1990-12-14,473.37,128.42
1990-12-17,468.52,127.78
1990-12-18,472.65,127.69
1990-12-19,473.61,125.77
1990-12-20,468.38,125.61
1990-12-21,462.42,128.36
1990-12-24,459.95,125.93
1990-12-25,459.95,125.93
1990-12-26,459.13,125.93
1990-12-27,458.45,125.98
1990-12-28,461.84,125.98
1990-12-31,461.53,126.01
1991-01-01,461.53,126.01
1991-01-02,461.52,126.01
1991-01-03,460.39,122.17
1991-01-04,458.75,125.91
1991-01-07,448.74,122.3
1991-01-08,443.97,118.98
1991-01-09,447.24,119.24
1991-01-10,447.08,114.15
1991-01-11,448.29,112.92
1991-01-14,443.08,117.82
1991-01-15,442.62,112.48
1991-01-16,439.09,110.12
1991-01-17,460.54,115.45
1991-01-18,465.44,120.45
1991-01-21,463.76,115.15
1991-01-22,463.49,114.46
1991-01-23,461.01,112.75
1991-01-24,467.93,115.39
1991-01-25,470.2,114.33
1991-01-28,471.36,114.78
1991-01-29,471.32,114.92
1991-01-30,473.24,115.37
1991-01-31,477.39,114.74
1991-02-01,477.47,113.97
1991-02-04,482.44,113.89
1991-02-05,490.25,113.87
1991-02-06,497.55,114.63
1991-02-07,500.45,114.5
1991-02-08,504.32,113.21
1991-02-11,512.67,113.84
1991-02-12,514.54,117.53
1991-02-13,516.6,117.16
1991-02-14,515.98,117.16
1991-02-15,517.57,117.16
1991-02-18,524.19,122.56
1991-02-19,523.79,121.87
1991-02-20,517.93,122.37
1991-02-21,517.3,122.86
1991-02-22,518.21,123.72
1991-02-25,520.69,126.31
1991-02-26,514.23,122.82
1991-02-27,516.7,121.75
1991-02-28,520.57,122.5
1991-03-01,514.82,122.5
1991-03-04,513.01,121.54
1991-03-05,520.43,121.66
1991-03-06,521.72,122.87
1991-03-07,522.27,122.4
1991-03-08,522.05,122.55
1991-03-11,516.87,123.41
1991-03-12,518.4,123.67
1991-03-13,516.71,123.41
1991-03-14,520.87,122.31
1991-03-15,521.27,123.13
1991-03-18,517.55,121.32
1991-03-19,509.08,120.32
1991-03-20,504.26,119.86
1991-03-21,508.68,118.65
1991-03-22,507.16,118.25
1991-03-25,505.27,118.83
1991-03-26,505.05,118.83
1991-03-27,504.14,116.91
1991-03-28,501.66,116.25
1991-03-29,504.26,116.25
1991-04-01,501.57,117.11
1991-04-02,510.92,114.72
1991-04-03,519.03,116.1
1991-04-04,520.06,116.95
1991-04-05,521.73,116.95
1991-04-08,517.94,115.61
1991-04-09,514.13,115.47
